cod_cvm;ticker;nome
4030;CSNA3;CSN
13471;PLAS3;PLASCAR
11592;UNIP6;UNIPARS
22055;AMAR3;MARISA LOJAS
18414;PDTC3;PADTEC HOLDING S.A.
17892;STPB3;SANTOS BRASIL PARTICIPACOES S.A.
20788;MRFG3;MARFRIG GLOBAL FOODS S.A.
19100;ATMP3;ATMA PARTICIPAÇÕES S.A.
22799;SQIA3;SENIOR SOLUTION S.A.
22357;ALSO3;ALIANSCE SONAE SHOPPING CENTERS S.A.
24260;SMFT3;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
24902;MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
21016;YDUQ3;YDUQS PARTICIPACOES S.A.
21130;TRIS3;TRISUL S.A.
21610;B3SA3;B3 S.A. - BRASIL, BOLSA, BALCÃO
22365;ENAT3;ENAUTA PARTICIPAÇÕES S.A.
24694;SBFG3;GRUPO SBF S.A.
23574;MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.
6505;VIIA3;VIA S.A.
10880;.;SONDOTECNICA ENGENHARIA SOLOS S.A.
9989;RPMG3;REFINARIA DE PETROLEOS MANGUINHOS S.A.
24295;BRDT3;VIBRA ENERGIA S/A
13471;PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.
8672;IGTI11,IGTI3;IGUATEMI S.A.
20702;VIVR3;VIVER INCORPORADORA E CONSTRUTORA S.A.
3549;.;CIA INDUSTRIAL SCHLOSSER S.A.
7544;.;TEXTIL RENAUXVIEW S.A.
6173;TASA3,TASA4;TAURUS ARMAS S.A.
