cod_cvm;ticker;nome
10456;ALPA4;ALPARGATAS
4537;CGRA4;GRAZZIOTIN
17329;PATI4;PANATLANTICA
2453;CMIG4;CEMIG
11975;AZEV4;AZEVEDO
1155;BEES3;BANESTES
1520;BDLL4;BARDELLA
1562;BALM4;BAUMER
1384;BRIV4;ALFA INVEST
906;BBDC4;BRADESCO
1210;BRSR6;BANRISUL
1325;BMEB3;BANCO MERCANTIL
12190;BOBR4;BOMBRIL
18724;BRAP4;BRADESPAR
4820;BRKM5;BRASKEM
2437;ELET3;ELETROBRAS
2461;CLSC4;CELESC
14451;CEBR3;CIA ENERGETICA BRASILIA
2453;CMIG4;CMIG
3204;EEEL3;CEEE
3069;FESA4;FERBASA
3077;CEDO4;CEDRO
14311;CPLE6;COPEL
18708;PEAB4;PAR AL BAHIA
3115;CSAB3;SEGUROS BAHIA
3158;CTNM4;COTEMINAS
4081;CTSA4;CIA TECIDOS SANTANENSE
4693;ODER3;ODERICH
4707;BRGE3;ALFA CONSORCIO
18376;TRPL4;CTEEP
5380;EALT4;ELECTRO ACO
16993;EMAE4;EMAE
15253;ENGI3;ENERGISA
5770;EUCA4;EUCATEX
3891;CRIV3;FINANCEIRA ALFA
3980;GGBR4;GERDAU
4537;CGRA4;GRAZZIOTIN
13366;HAGA4;HAGA
8672;IGTI3;IGUATEMI
19348;ITUB4;ITAU
7617;ITSA4;ITAU
13285;JOPA3;JOSAPAR
8397;MGEL4;MANGELS
8451;POMO4;MARCOPOLO
8656;GOAU4;METALURGICA GERDAU
13439;RSUL4;RIOSULENSE
8753;MTSA4;METISA
9512;PETR4;PETROBRAS
9539;PTNT4;PETTENATI
14109;RAPT4;RANDON
12572;RCSL3;RECRUSUL
21636;RNEW4;RENOVA
12696;SNSY3;SANSUY
10472;SLED4;SARAIVA
14664;SHUL4;SCHULZ
12823;APTI4;ALIPERTI
21121;SULA4;SUL-AMERICA
6173;TASA4;TAURUS
11207;TCNO4;TECNOSOLO
11223;TEKA4;TEKA
20257;TAEE3;TRANSMIRRORA PAULISTA
11991;MWET4;WETZEL
14346;WHRL4;WHIRLPOOL
11070;WLMM4;WLM
